Id,Label,timeset,0,1,2,3
2806,2806,,1808,1808,William,\
2028,2028,,1808,1833,Philip,CARPENTER
1122,1122,,1805,1822,Aaron,AARON
1671,1671,,1801,1801,Isaac,AARON & CO.
1670,1670,,1794,1814,Isaac,AARON & SON
548,548,,1801,1833,Charles,ABBOTT
5391,5391,,1806,1806,William,BENTLEY
349,349,,1764,1786,John,EGLINTON
214,214,,1668,1676,Richard,ABBOTT
146,146,,1656,1680,Hilkiah,BEDFORD
5395,5395,,1831,1831,Samuel,AGATE
2602,2602,,1809,1842,Jacob,ABRAHAM
1,1,,1818,1850,Abraham,ABRAHAM
792,792,,1847,1897,George Smart,WOOD
4309,4309,,1851,1875,Abraham,ABRAHAM & CO.
3626,3626,,1844,1853,Simeon Phineas,COHEN
6036,6036,,1826,1830,John,ABRAHAM
4593,4593,,1838,1843,A.,ABRAHAM & CO.
4594,4594,,1841,1845,W. & John Benjamin,ABRAHAM & DANCER
2268,2268,,1835,1878,John Benjamin,DANCER
1132,1132,,1803,1828,Fredrick (sic),ACCUM
9262,9262,,1818,1846,Alexander,GARDEN
1983,1983,,1826,1828,Alexander,ADAMS
2772,2772,,1815,1844,John,BYARD
3481,3481,,1833,1842,Joshua Reeve,LOWE
151,151,,1720,1734,John (I),ADAMS
1316,1316,,1695,1717,William,SAUNDERS
10304,10304,,1870,1880,Thomas (III),ADAMS
5053,5053,,1846,1870,Thomas (II),ADAMS
334,334,,1735,1740,Nathaniel,ADAMS
438,438,,1747,1784,Francis (I),WATKINS
344,344,,1728,1774,Edward (II),SCARLETT
864,864,,1795,1796,Hannah,ADAMS
551,551,,1772,1796,George (II),ADAMS
2728,2728,,1735,1735,William,ADAMS
855,855,,1708,1743,Samuel (I),SAUNDERS
511,511,,1734,1772,George (I),ADAMS
1227,1227,,1703,1724,James (I),PARKER
550,550,,1788,1817,Dudley,ADAMS
1021,1021,,1766,1794,Robert (I),TANGATE
455,455,,1774,1803,John,MILLER
549,549,,1772,1774,Ann & George (II),ADAMS
5,5,,1705,1705,Edward (I),SCARLETT
3259,3259,,1817,1822,Charles (I),WEST
750,750,,1785,1785,Christopher (II)*,STEDMAN
3311,3311,,1820,1849,Richard,WIDENHAM
1984,1984,,1829,1842,Michael,ADAMS
6032,6032,,1816,1816,Dudley,ADAMS & CO.
532,532,,1800,1819,John,ADDISON
2275,2275,,1820,1830,John,ADDISON & CO.
9376,9376,,1861,1917,[none],MALBY & SONS
2540,2540,,1823,1834,Alexander,ADIE
2634,2634,,1835,p 18,Alexander & John,ADIE & SON
442,442,,1806,1861,Thomas (I),JONES
2633,2633,,1835,1875,Richard,ADIE
2632,2632,,1846,1942,Patrick,ADIE
2631,2631,,1834,1857,John,ADIE
2630,2630,,1833,1833,Edward,ADIE
3668,3668,,1861,1884,Angus,HENDERSON
3649,3649,,1879,1900,Alexander,FRAZER
3664,3664,,1862,1865,James,GRASSICK
3522,3522,,1881,1899,John & Thomas,ADIE & WEDDERBURN
8804,8804,,1799,1802,Alexander,AFLECK
3653,3653,,1825,1825,Margaret,GARDNER
2637,2637,,1825,1834,Thomas & Joseph,AGNEW & ZANETTI
5170,5170,,1835,1843,Joseph,ZANETTI
2627,2627,,1835,1841,Thomas,AGNEW
9350,9350,,1830,1850,"J










John",AGOSTI
3314,3314,,1830,1830,John Anthony,AUGUSTUS
2638,2638,,1828,1841,Charles,AIANO
4614,4614,,1820,1820,,AIANO & CO.
3405,3405,,1858,1886,Thomas Liddle,AINSLEY
15,15,,1883,1887,,HEATH & CO.
8484,8484,,1900,1967,T.L.,AINSLEY LTD
8384,8384,,1894,1894,James,AITCHISON
8573,8573,,1911,1927,Irvine,AITCHISON
6041,6041,,1890,1901,,AITCHISON & CO.
2600,2600,,1730,1754,Thomas,AITKEN
3882,3882,,1710,1730,Thomas,FOUBISTER
361,361,,1718,1768,Robert (I),AKENHEAD
363,363,,1778,1795,David,AKENHEAD
362,362,,1795,1813,David [with John & Robert (II)],AKENHEAD & SONS
2643,2643,,1815,1836,Adam Blackburn,ALPORT
4617,4617,,1886,1886,Louis,ALBINO
6044,6044,,1885,1885,John,ALBINO & CO.
4616,4616,,1837,1881,John,ALBINO
3942,3942,,1706,1706,Robert,ALCOCKE
3963,3963,,1692,1695,Christopher,GROVE
9933,9933,,1860,1890,William,ALDER
6043,6043,,1850,1850,,ALDER & CO.
9473,9473,,1854,1854,,ALDER & HUBBARD
124,124,,1660,1662,Thomas,ALDUS
110,110,,1649,1649,Henry,SUTTON
2982,2982,,1813,1825,George,ALEXANDER
3160,3160,,1820,1822,Robert,ALEXANDER & SON
949,949,,1833,1835,Alexander,ALEXANDER
5342,5342,,1830,1830,John (II),ALEXANDER
4424,4424,,1822,1826,James (II),ALLAN
431,431,,1800,1819,Matthew,BERGE
554,554,,1800,1816,James (I),ALLAN
430,430,,1762,1800,Jesse,RAMSDEN
841,841,,1790,1794,John,ALLAN
1453,1453,,1804,1835,Alexander,ALLAN
3760,3760,,1836,1900,Peter,STEVENSON
1094,1094,,1799,1819,William,COOK
2641,2641,,1811,1845,Isaac,ALLBUT
4618,4618,,1845,1845,I,ALLBUTT
9944,9944,,1864,1887,Thomas,ALLCHIN
8363,8363,,1870,1899,Henry,ALLCHIN
17,17,,1607,1653,Elias,ALLEN
116,116,,1654,1712,Ralph,GREATOREX
87,87,,1593,1611,Charles,WHITWELL
4619,4619,,1838,1840,M.H. & J.W.,ALLEN
4282,4282,,1838,1840,William and Andrew,SMITH
1077,1077,,1850,1853,James Patishall,ALLEN
4042,4042,,1837,1871,John (II),LILLEY
2796,2796,,1766,1792,Nathaniel,ALLEN
1240,1240,,1724,1771,Jonathan (I),EADE
1294,1294,,1842,1857,John (II),ALLEN
6048,6048,,1858,1863,(Mrs) A.,ALLEN
4620,4620,,1850,1856,Thomas (II),ALLEN
7758,7758,,1862,1862,Thomas,ROWE
7757,7757,,1862,1862,James,ROWE
111,111,,1645,1666,Anthony,THOMPSON
4621,4621,,1849,1850,,ALLEN & ROWE
6052,6052,,1851,1887,Henry J.,ALLIS
6051,6051,,1892,1914,F.W.,ALLIS
6053,6053,,1851,1876,John Hagger,ALLIS
1755,1755,,1791,1817,George,ALLMOND
5505,5505,,1765,1771,William,CARTWRIGHT
5497,5497,,1815,1822,William,ALLMOND
5498,5498,,1794,1808,Robert,CUTHBERTSON
5537,5537,,1705,1706,Peter,ALT
172,172,,1667,1710,Joseph,HOWE
5535,5535,,1668,1681,Isaac,ALT
1232,1232,,1681,1715,Joseph,COLE
3395,3395,,1609,1634,Robert,ALTE
5399,5399,,1633,1634,John (II),ALTE
5398,5398,,1634,1652,John (I),ALTE
4622,4622,,1840,1843,John,AMADIO
4423,4423,,1840,1870,Joseph,AMADIO
1979,1979,,1820,1840,Francis (I),AMADIO
2181,2181,,1840,1845,J.,MANGIACAVALLI
6057,6057,,1865,1866,Francis & Joseph Philip,AMADIO
1980,1980,,1839,1864,Francis (II),AMADIO
4623,4623,,1840,1844,F,AMADIO & SON
2986,2986,,1694,1694,Edward,AMBLER
850,850,,1706,1706,Richard,WRIGHT
6061,6061,,1859,1875,Henry Bonaparte,ANDERSON
6060,6060,,1857,1891,Henry,ANDERSON
3426,3426,,1812,1852,James Andrew,ANDERSON
3447,3447,,1800,1806,John Peter,LAWRENCE
6059,6059,,1861,1873,George,ANDERSON
2529,2529,,1795,1795,William,ANDERSON
325,325,,1784,1812,Alexander,WELLINGTON
3274,3274,,1792,1792,George Cave,WOODAGE
8655,8655,,1821,1854,William,CLARK
6058,6058,,1876,1887,Ann (Mrs),ANDERSON
4124,4124,,1848,1848,James,GRANT
7046,7046,,1851,1868,Edward,JONES
3859,3859,,1870,1940,,ANDERSON BROS.
3858,3858,,1883,1883,,ANDERSON & SON
3537,3537,,1866,1868,,ANDERSON & CO.
3554,3554,,1869,1880,Robert H.,ANDERSON
6064,6064,,1879,1879,H,ANDERSON & SONS
5117,5117,,1839,1839,,ANDERSON & WEST
1218,1218,,1669,1683,Nathaniel,ANDERTON
122,122,,1648,1687,Walter,HAYES
236,236,,1682,1700,John,WORGAN
159,159,,1668,1707,John,NASH
1224,1224,,1700,1702,James,ANDERTON
243,243,,1785,1811,,ANDERTON & CALLEY
8486,8486,,1810,1810,,ANDERTON
2512,2512,,1719,1719,James,ANDREWS
2504,2504,,1687,1724,Henry,CARTER
8950,8950,,1761,1762,Robert (I),ANDREWS
749,749,,1747,1774,Christopher (I),STEDMAN
4638,4638,,1842,1846,John,ANGEL
4639,4639,,1849,1849,Lewis,ANGELL
6066,6066,,1862,1876,,ANGELINETTA & BREGAZZI
10476,10476,,1879,1879,Lorenzo,ANGELINETTA
6067,6067,,1891,1901,William George,ANGELL
4625,4625,,1849,1851,John,ANGELL
1753,1753,,1772,1781,Valentine & John,ANSCHEUTZ & SCHLAFF
1752,1752,,1761,1772,Valentine,ANSCHEUTZ & CO.
3562,3562,,1783,1783,John,ANTHONY
421,421,,1765,1788,Thomas,RIPLEY
6069,6069,,1770,1778,Carl,APELQUIST
4628,4628,,1826,1864,Henry,APPLETON
9132,9132,,1830,1885,Peter,BIRCHALL
9492,9492,,1855,1855,Henry,APPLETON & CO
2716,2716,,1838,1863,John,ARCHBUTT
555,555,,1864,1866,John,ARCHBUTT & SONS
6072,6072,,1893,1901,William Edward,ARCHBUTT
6077,6077,,1867,1892,John & William Edward,ARCHBUTT
1797,1797,,1750,1765,Henry,ARCHDALL
1796,1796,,1736,1751,William,ARCHDALL
1309,1309,,1714,1734,Thomas,ARCHER
5366,5366,,1722,1722,Andrew,HARPER
9044,9044,,1895,1917,Helen,ARCHER
3757,3757,,1855,1917,David,STALKER
2530,2530,,1771,1783,William,ARCHER
2525,2525,,1748,1763,John,BUSH
8061,8061,,1894,1940,,TURNBULL & CO.
1613,1613,,1786,1805,Charles,PACE
5363,5363,,1687,1712,Samuel (I),THOMPSON
6073,6073,,1861,1899,Reuben,ARCHER
6074,6074,,1901,1901,Reuben,ARCHER & SON
1125,1125,,1805,1805,Thomas,ARGILL
727,727,,1786,1793,Joseph (I),RUST
6078,6078,,1851,1868,Thomas (I),ARMSTRONG
6076,6076,,1836,1887,George Booth,ARMSTRONG
9824,9824,,1860,1881,William,ARMSTRONG
6079,6079,,1868,1919,Thomas,ARMSTRONG & BROTHER
557,557,,1799,1830,John Roger,ARNOLD
556,556,,1764,1786,John,ARNOLD
1981,1981,,1817,1822,William (I),ARNOLD
1982,1982,,1826,1828,William & James,ARNOLD
2645,2645,,1831,1837,James William,ARNOLD
558,558,,1787,1799,John,ARNOLD & SON
5714,5714,,1830,1830,Thomas,PREST
10333,10333,,1875,1896,J. R.,ARNOLD
3328,3328,,1830,1871,Charles,FRODSHAM
8385,8385,,1824,1824,Charles Wilson,ARNOLD
9998,9998,,1861,1863,Bening,ARNOLD
9999,9999,,1863,1863,W. and J.,BURROW
2981,2981,,1830,1840,John Roger & Edward John,ARNOLD & DENT
935,935,,1826,1853,Edward John,DENT
5055,5055,,1844,1857,,ARNOLD & FRODSHAM
6082,6082,,1878,1883,,ARNOLD & LEWIS
7849,7849,,1840,1864,Isaac,SIMMONS
8335,8335,,1858,1870,Maurice,ARONSBERG
6083,6083,,1881,1890,William,ARONSBERG
8336,8336,,1896,1900,Ralph,ARONSBERG
8334,8334,,1896,1923,Aaron,ARONSBERG
1691,1691,,1790,1823,Aaron (I),ARROWSMITH
3850,3850,,1823,1832,Aaron (II),ARROWSMITH
3851,3851,,1833,1839,Samuel,ARROWSMITH
4631,4631,,1824,1873,John,ARROWSMITH
7941,7941,,1853,1887,Edward (I),STANFORD
432,432,,1782,1821,John (I),CARY
10321,10321,,1877,1888,William Smith,ARTHURTON
10325,10325,,1874,1890,William,SMITH & CO.
3477,3477,,1812,1853,Robert,WOOD
5355,5355,,1757,1757,Samuel,ASHBY
979,979,,1765,1793,James,SAUNDERS
5482,5482,,1618,1618,Thomas,ASHE
873,873,,1627,1669,John,JENKINSON
501,501,,1748,1749,Thomas,ASHLEY
1970,1970,,1740,1760,John,STRATTON
2648,2648,,1825,1837,,ASHMORE & OSBORNE
2647,2647,,1825,1845,William,ASHMORE
4600,4600,,1818,1841,William (II),HARRIS
5640,5640,,1837,1862,Thomas Paine Gerald,OSBORNE
6087,6087,,1850,1850,Moses & ?,ASH & SON
6086,6086,,1856,1862,Moses,ASH
6089,6089,,1885,1885,,ASKEW
7474,7474,,1891,1898,T.,OLDHAM
1751,1751,,1776,1788,William,ASTILL
1749,1749,,1795,1797,Susannah,ASTILL
3423,3423,,1800,1834,Benjamin Matthew,PAYNE
3008,3008,,1758,1758,Samuel,STEVENSON
2394,2394,,1784,1804,John,GOODMAN
2359,2359,,1784,1814,John,WYNN
1748,1748,,1798,1799,,ASTILL & KING
1750,1750,,1790,1795,,ASTILL & PARTRDGE
1747,1747,,1798,1803,,ASTILL & PAYNE
1165,1165,,1770,1770,William,ASTON
2650,2650,,1811,1833,Joseph,ASTON
1985,1985,,1811,1840,Isaac (I),ASTON
4098,4098,,1841,1842,Mrs.,ASTON
5064,5064,,1851,1870,Isaac (II),ASTON
3058,3058,,1833,1870,George (I),MANDER
2651,2651,,1818,1862,Thomas (I),ASTON
6091,6091,,1854,1890,John,ASTON
3513,3513,,1833,1870,Sampson,ASTON
1047,1047,,1785,1818,Samuel,ASTON
6092,6092,,1856,1856,T.,ASTON
8413,8413,,1898,1898,Thomas (III),ASTON
8414,8414,,1898,1898,Thomas Edward,ASTON
4632,4632,,1845,1865,Thomas (II),ASTON
6094,6094,,1871,1872,Sampson,ASTON & CO.
6097,6097,,1876,1898,Thomas,ASTON & SONS
6095,6095,,1871,1903,,ASTON & MANDER
6096,6096,,1910,1920,,ASTON & MANDER LTD
309,309,,1807,1814,George,ATKINS
2652,2652,,1813,1822,George,ATKINS & CO.
1121,1121,,1801,1806,Robert,ATKINS
20,20,,1668,1717,James (I),ATKINSON
1282,1282,,1670,1682,Eysum,PERKINS
103,103,,1633,1669,Andrew,WAKELY
19,19,,1721,1729,James (II),ATKINSON
600,600,,1764,1788,John (II),ATKINSON
1293,1293,,1801,1828,Benjamin,MANSFIELD
4504,4504,,1759,1768,Robert,PARISH
407,407,,1747,1788,Joseph,ATKINSON
540,540,,1740,1781,Joseph,BARBER
6101,6101,,1788,1831,Mrs Elizabeth,ATKINSON
10478,10478,,1879,1883,Louis,AUDEMARS
10481,10481,,1879,1886,William Henry,GARNISH
1539,1539,,1785,1798,William,AULT
484,484,,1767,1785,Samuel,AULT
137,137,,1770,1777,John,AULT
79,79,,1780,1781,Widow,AULT
8487,8487,,1852,1880,William S.,AUST
4636,4636,,1849,1852,William,AUST
2509,2509,,1714,1745,Samuel,AUSTIN
8951,8951,,1767,1768,James,AUSTIN
1745,1745,,1775,1805,Aaro,AUSTIN
1746,1746,,1798,1817,Moses,AUSTIN
5728,5728,,1817,1894,William & Thomas,AVERY
1744,1744,,1791,1813,Joseph,BALDEN
105,105,,1639,1652,,A.W.
4637,4637,,1731,1757,Benjamin,AYRES
312,312,,1722,1747,Jonathan,SISSON
21,21,,1748,1759,James,AYSCOUGH
273,273,,1706,1757,James (II),MANN
3854,3854,,1759,1767,Martha,AYSCOUGH
541,541,,1764,1775,Joseph,LINNELL
845,845,,1771,1780,John (III),GILBERT
1679,1679,,1816,1831,William (II),BACKWELL
559,559,,1795,1831,William (I),BACKWELL
6105,6105,,1863,1866,Richard J.,BACKWELL
6104,6104,,1858,1862,William I.,BACKWELL
2085,2085,,1804,1849,William (II),ELLIOTT
1052,1052,,1805,1805,William,BACON
24,24,,1759,1794,William,BAILEY
9323,9323,,1862,1953,George  W.,BACON & CO.
9278,9278,,1887,1893,James John Cooper,WYLD
1740,1740,,1779,1785,William Geagle,BADCOCK
1000,1000,,1735,1779,Samuel,READ
10451,10451,,1878,1879,Charles Edward,BADDELEY
10422,10422,,1877,1877,Charles,BADDELEY
8932,8932,,1759,1762,John,BADSEY
2536,2536,,1709,1751,John (I),URINGS
102,102,,1770,1785,William,BAGNALL
104,104,,1773,1775,Robert,BAGNALL
6107,6107,,1871,1885,A.,BAHARIE & SON
4640,4640,,1840,1860,A.,BAHARIE
6106,6106,,1877,1877,J.T.,BAHARIE
3393,3393,,1627,1634,John,BAILEY
869,869,,1668,1677,William (I),SPENCER
641,641,,1744,1772,Henry (I),GREGORY
5483,5483,,1613,1624,John (VII),THOMPSON
6108,6108,,1868,1875,Charles Irvine Conyngham,BAILEY
10367,10367,,1876,1891,,BAILEY & CO.
6111,6111,,1860,1900,R.,BAILEY
2890,2890,,1829,1843,Robert,FIELD
4751,4751,,1765,1765,Spicer,CANTREY
10076,10076,,1867,1867,,BAILEY & DAVISON
8919,8919,,1868,1908,George   & Thomas,DAVISON
8338,8338,,1877,1878,R.,BAIN
8339,8339,,1880,1880,R & ?,BAIN & AINSLEY
10517,10517,,1880,1880,,"BAINES, TAIT & GIBB"
10565,10565,,1881,1904,James,GIBB & CO.
3588,3588,,1881,1914,,BAIRD & TATLOCK
3587,3587,,1890,1900,Andrew H,BAIRD
1978,1978,,1744,1744,Edward (I),BAKER
165,165,,1720,1750,Benjamin (I),COLE
4244,4244,,1851,1937,Charles,BAKER
6534,6534,,1901,1901,Charles Lees,CURTIES
4687,4687,,1849,1850,George,BENTON
4046,4046,,1760,1780,Edward (II),BAKER
5641,5641,,1782,1782,Edward (III),BAKER
5729,5729,,1770,1770,Benjamin (I),BAKER
2783,2783,,1765,1780,William,PALMER
1060,1060,,1805,1805,Benjamin (II),BAKER
8463,8463,,1898,1898,Fredrick William Watson,BAKER
4290,4290,,1882,1901,William,WATSON & SONS
4644,4644,,1834,1835,Thomas,BAKER
2793,2793,,1822,1857,Edward (IV),BAKER
1142,1142,,1791,1826,Richard,BAKEWELL
3075,3075,,1829,1858,Isaac,TROW
2657,2657,,1828,1829,Isabella,BAKEWELL
6117,6117,,1854,1854,W.,BAKEWELL
1736,1736,,1766,1799,Thomas,BEACH
1743,1743,,1785,1788,-,BALDEN & WHITFIELD
2587,2587,,1777,1829,Edward,WHITFIELD
2785,2785,,1721,1721,Richard,BALDOCK
2694,2694,,1700,1721,William (II),ROBERTS
1076,1076,,1804,1805,David,BALE
397,397,,1831,1835,Daniel (II),SCATLIFF
6118,6118,,1845,1846,,BALE
6122,6122,,1865,1865,William,BALL
6121,6121,,1885,1885,Walter,BALL
6123,6123,,1760,1820,John (I),BALLARD
8908,8908,,1834,1835,,DEACON
6124,6124,,1815,1815,John (II),BALLARD
1765,1765,,1801,1808,James,DUTTON
9861,9861,,1846," 186",John,BALLENY
4916,4916,,1834,1840,George Richards,ELKINGTON
9968,9968,,1865,1872,,BALLENY & CO.
5372,5372,,1743,1761,Leonard,BALLETT
5371,5371,,1733,1750,William (I),COX
663,663,,1759,1784,John (I),JONES
4386,4386,,1800,1850,G.,BALSARY & CO.
972,972,,1775,1820,G.,BALSARY
4417,4417,,1779,1786,Thomas,BAMPTON
4233,4233,,1833,1862,George,MITCHELL
2738,2738,,1791,1796,Anthony Oldiss,BANCKS
779,779,,1796,1831,Robert (II),BANCKS
560,560,,1831,1834,Robert,BANCKS & SON
9296,9296,,1849,1871,Henry,BANISTER
6805,6805,,1863,1865,John,GRANT
2791,2791,,1800,1800,- (III),BANKS
408,408,,1768,1788,John (II),TROUGHTON
1986,1986,,1831,1837,Richard,BARBER
1987,1987,,1817,1819,Thomas,BARBER
5538,5538,,1676,1698,Isaac,BARBER
5038,5038,,1668,1675,John,HAWES
6027,6027,,1781,1784,Martin,BARBER
543,543,,1778,1781,Joseph (& Martin),BARBER & SON
537,537,,1775,1813,Edward,HUMBLE
4649,4649,,1674,1705,Edward,BARBER
343,343,,1741,1741,George,HEARNE
4491,4491,,1768,1768,Seymore,TAPLEE
4385,4385,,1780,1820,,BARBON
4384,4384,,1800,1860,,BARBON & CO.
8392,8392,,1795,1795,John,BARBON & CO
1652,1652,,1800,1850,S.,BARBON & CO.
1649,1649,,1809,1812,Peter,BARBON
9624,9624,,1858,1869,John & Thomas,BARCLAY
10173,10173,,1870,1872,Thomas,BARCLAY
10172,10172,,1870,1873,John,BARCLAY
26,26,,1727,1749,Hugh,BARCLAY
844,844,,1753,1753,Adam,BARCLAY
27,27,,1731,1758,William,BARCLAY
25,25,,1700,1700,,BARCLAY
5057,5057,,1819,1857,James,BARCLAY
561,561,,1798,1819,Thomas Marriott,BARDIN
975,975,,1790,1798,William (& Thomas Marriott),BARDIN & SON
1988,1988,,1821,1832,Elizabeth Marriott (Miss),BARDIN
5521,5521,,1798,1800,W. & T.M.,BARDIN
562,562,,1783,1798,William,BARDIN
2081,2081,,1827,1849,Samuel Sabine,EDKINS
2658,2658,,1816,1817,,BARDIN & SONS
5066,5066,,1840,1859,"Elizabeth, Miss",BARDIN
8874,8874,,1892,1900,,BARDY & MARTIN
6367,6367,,1881,1895,,CAMBRIDGE SCIENTIFIC INSTRUMENT CO.
5560,5560,,1728,1734,William (II),BARKER
1202,1202,,1709,1726,Jane,STERROP
6127,6127,,1865,1908,Francis,BARKER & SON
8674,8674,,2000,2000,Francis,BARKER & SON LTD
1989,1989,,1826,1826,Elizabeth,BARLING
